"pid","laddr","raddr","status"
"2881","192.168.29.210@52338","192.30.253.113@443","CLOSE_WAIT"
"2881","192.168.29.210@55103","151.101.40.133@443","ESTABLISHED"
"2881","192.168.29.210@34667","216.58.195.234@443","ESTABLISHED"
"2881","192.168.29.210@57386","192.30.253.124@443","ESTABLISHED"
"2881","192.168.29.210@55105","151.101.40.133@443","ESTABLISHED"
"2881","192.168.29.210@52339","192.30.253.113@443","CLOSE_WAIT"
"2881","192.168.29.210@58590","216.58.192.14@443","ESTABLISHED"
"2881","192.168.29.210@37138","72.21.91.66@443","CLOSE_WAIT"
"2881","192.168.29.210@36301","192.30.253.112@443","CLOSE_WAIT"
"2881","192.168.29.210@55110","151.101.40.133@443","ESTABLISHED"
"2881","192.168.29.210@55104","151.101.40.133@443","ESTABLISHED"
"2881","192.168.29.210@55102","151.101.40.133@443","ESTABLISHED"
"2881","192.168.29.210@55101","151.101.40.133@443","ESTABLISHED"
"2881","192.168.29.210@55106","151.101.40.133@443","ESTABLISHED"
"2343","192.168.29.210@46607","162.125.34.129@443","ESTABLISHED"
"2343","192.168.29.210@52622","45.58.69.1@443","CLOSE_WAIT"
"2343","192.168.29.210@40477","108.160.172.204@443","CLOSE_WAIT"
"2343","192.168.29.210@52620","45.58.69.1@443","CLOSE_WAIT"
"2343","192.168.29.210@40393","108.160.172.204@443","CLOSE_WAIT"
"2343","192.168.29.210@52621","45.58.69.1@443","CLOSE_WAIT"
"2343","192.168.29.210@46372","108.160.172.225@443","CLOSE_WAIT"
"2343","192.168.29.210@52619","45.58.69.1@443","CLOSE_WAIT"
"2343","192.168.29.210@49913","54.236.160.186@443","CLOSE_WAIT"
"None","192.168.29.210@54822","216.58.195.228@443","TIME_WAIT"
"None","192.168.29.210@43342","23.197.99.172@443","TIME_WAIT"
"None","::1@54422","::1@631","CLOSE_WAIT"
"2053","::1@54474","::1@631","CLOSE_WAIT"
